TYPE,GEN,GNDR,AGE ,ETH,PE,ATENDC,NTRGPA,GRDNRMTIME
T,1G,F,1,M,P,PT,C,G
T,N1G,F,1,M,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,M,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,B,P,PT,C,G
T,N1G,F,1,M,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,M,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,N1G,F,1,B,P,PT,C,G
T,1G,F,1,M,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,I,P,PT,C,G
T,N1G,F,1,M,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,M,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,1G,F,1,B,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,B,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,M,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,N1G,F,1,M,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,N1G,F,1,M,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,M,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,1G,F,1,M,P,PT,C,G
T,1G,F,1,M,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,N1G,F,1,M,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,B,P,PT,C,G
T,1G,F,1,M,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,N1G,F,1,M,P,PT,C,G
T,1G,F,1,M,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,N1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,B,P,PT,C,G
T,1G,F,1,W,P,PT,C,G
T,1G,F,1,M,P,PT,C,G
T,N1G,F,1,B,P,FT,C,G
T,1G,F,1,W,P,FT,C,G
T,N1G,M,1,B,P,PT,A,G
T,N1G,M,1,W,P,PT,A,G
T,N1G,M,1,M,P,PT,A,G
T,1G,M,1,W,P,PT,A,G
T,N1G,M,1,W,P,PT,A,G
T,N1G,M,1,M,P,PT,A,G
T,1G,M,1,W,P,PT,A,G
T,N1G,M,1,W,P,PT,A,G
T,N1G,M,1,W,P,PT,A,G
T,N1G,M,1,I,P,PT,A,G
T,1G,F,1,M,P,PT,D,G
T,1G,F,1,M,P,PT,D,G
T,N1G,F,1,M,P,PT,D,G
